"crime_description","ipc_section"
"My car was stolen from the parking lot. It was a black sedan.","IPC 379"
"Someone entered my home and stole a laptop and some jewelry.","IPC 457, IPC 380"
"I was attacked by a group of people with sticks and suffered minor injuries.","IPC 323"
"An individual snatched my purse while I was walking on the street.","IPC 379"
"I received a fake email asking for my bank details and lost money to a scam.","IPC 420"
"A person threatened me with a knife and forced me to give them my wallet.","IPC 392"
"My phone was lost at the bus station.","Lost Property"
"Someone posted an offensive message about me on social media, impersonating my account.","IPC 499, IPC 500"
"A group of four men came into my shop, broke the glass counter, and took all the money.","IPC 395"
"A person I trusted refused to return my valuable belongings, committing a criminal breach of trust.","IPC 406"
"I was walking alone when someone suddenly grabbed me from behind.","IPC 354"
"A person threatened to harm my family if I didn't pay them money.","IPC 384"
"My identity was stolen and used to open a fraudulent bank account.","IPC 419"
"An attempt was made on my life. Someone tried to harm me seriously.","IPC 307"
"My property was damaged by an angry mob. They set fire to my shed.","IPC 427"
"I was assaulted and my phone was forcibly taken from me.","IPC 392"
"A neighbor keeps threatening to hurt me and my family.","IPC 506"
"A person created a fake document to claim ownership of my land.","IPC 465"
"My laptop was hacked, and my personal files were deleted.","IPC 66 (IT Act)"
"I saw a large crowd of people fighting with each other on the street, causing public disorder.","IPC 147"
"My younger brother was taken from our home by an unknown person.","IPC 363"
"I found that my signature had been forged on a legal document.","IPC 463, IPC 465"
"My car was intentionally scratched and its tires were deflated.","IPC 425"
